All Sites,Type,x,Literacy Programme,1000 stories,EduTech,Yebo,Zazi Izandi,Count,x,Foundation Phase,Upper Grades,Total Kids in School,Include Which Beneficiaries,Masi Beneficiaries,Black Children,Coloured Children,Masi Programmes
Zukhanye,ECD,,,17,,,,,,,,17,,17,17,,17
Aaron Gqadu,Primary,,41,153.6,81,,,,,143,113,256,,234.6,234.6,,256
Charles Duna,Primary,,94,615.6,1001,98,,,,512,514,1026,EduTech,1350,1350,,1026
Seyisi,Primary,,127,395.4,732,149,,,,450,419,869,,907.8,907.8,,869
Astra,Primary,,54,651,,129,,,,550,535,1085,,454.5,0,454.5,834
Ben Sinuka,Primary,,43,176.4,,,,,,94,200,294,,176.4,176.4,,219.4
Bethelsdorp,Primary,,,,,115,,,,,,,,115,,115,115
BJ Mnyanda,Primary,,,,,73,,,,,,,,73,73,,73
Clarkson,Primary,,131,600,,,,,,,,1000,,600,600,,731
Ebongweni,Primary,,47,339.6,538,,,,,215,351,566,,877.6,877.6,,566
Empumalanga,Primary,,56,651,,117,,,,371,714,1085,,651,651,,824
Fumisukoma,Primary,,119,918.6,667,118,,,,755,776,1531,,1585.6,1585.6,,1531
Isaac Booi,Primary,,136,627.6,578,106,,,,532,514,1046,,1205.6,1205.6,,1046
Elufefeni,Primary,,41,600,,72,,,,440,560,1000,,600,600,,713
Dumani,Primary,,72,900,24,,,,,660,840,1500,,900,900,,996
Kama,Primary,,,,,80,,,,,,,,80,80,,80
Khanyisa,Primary,,48,,,,,,,,,,,48,48,,48
KK Ncwana,Primary,,,,,111,,,,,,,,111,,111,111
Kroneberg,Primary,,,,,122,,,,,,,,122,,122,122
Mboniselo,Primary,,,,,122,,,,,,,,122,122,,122
Melisizwe,Primary,,,,,150,,,,,,,,150,150,,150
Molefe,Primary,,40,,,,,,,,,300,,40,40,,40
Mzingisi,Primary,,35,,,,,,,,,500,,35,35,,35
Phakamile,Primary,,48,,,,,,,,,500,,48,48,,48
Sandwater,Primary,,48,396,,,,,,,,600,,600,300,300,444
St Augustines,Primary,,31,,,,,,,,,1000,,31,31,,31
Zukisa,Primary,,34,,,,,,,,,,,34,34,,34
Canzibe,Primary,,,,,74,,,,,,,,74,74,,74
Cebelihle,Primary,,,,,,248,,,,,,,248,248,,248
Daniels Public,Primary,,,,,,61,,,,,,,61,61,,61
David Vuku,Primary,,,,,58,,,,,,,,58,58,,58
Emafini Primary,Primary,,,,,,249,,,,,,,249,249,,249
Emfundweni,Primary,,,,,,149,,,,,,,149,149,,149
Emsengeni,Primary,,,,,71,163,,,,,,,234,234,,234
Emzomncane,Primary,,,,,,60,,,,,,,60,60,,60
Gertrude Shope,Primary,,,,,,171,,,,,,,171,171,,171
KwaNoXolo,Primary,,,,,,163,,,,,,,163,163,,163
Mzimhlophe,Primary,,,,,,133,,,,,,,133,133,,133
Ntyatyambo,Primary,,,,,,125,,,,,,,125,125,,125
Sivuyiseni,Primary,,,,,,175,,,,,,,175,175,,175
Spencer Mabija,Primary,,,,,,115,,,,,,,115,115,,115
Stephen Mazungula,Primary,,,635,,,,,,,,635,,635,635,,635
Jarvis Gqamlana,Primary,,,220,,,,,,,,,,220,220,,220
Lamani Primary School,Primary,,,27,,,,,,,,27,,27,27,,27
Total,,,1718,10447.8,3621,1765,2317,227,,,,,,,,,
,,,,,,,,,,,,,Children Beneficiaries,16852.1,15697.6,1144.5,
,,,Total Children Counted,"19,228.00",,,,,,,,,,,,,
,,,Minus Overlap,116.5,Subtracting double counts of literacy/library and edutech/library,,,,,,,,Youth Beneficiaries,446,417,39,
,,,Total Children Benefitting,"17,653.50",,,,,,,,,,,,,
,,,,,,,,,,,,,Total Beneficiaries,17298.1,16114.6,1183.5,
,,,f,m,total,,,,,,,,,,,,
Black Children,,,"7,202.63","7,802.85","15,005.48",,,,,,,,,Youth,,,
Black Youth,,,214,28,242,,,,,,,,,male youth,40,7,
Coloured Children,,,"1,271.05","1,376.97","2,648.03",18164,,,,,,,,female youth,377,32,
Coloured Youth,,,29,4,33,,,,,,,,,male children,8005.776,583.695,
,,,,,,,,,,,,,,female children,7691.824,560.805,
,,,,,,,,,,,,,,,,,
Employment Status,,,(Multiple Items),,,,,,,,,,,,,,
,,,,,,,,,,,,,,HCI,,,
Row Labels,,,Count of Last Name,,,,,,,,,,,Black Male,7710,,
Female,,,243,,15278,,,,,,,,,Black Female,7708,,
Black African,,,214,,12028,,,,,,,,,Coloured Male,610,,
Coloured (Mixed-race),,,29,,0.2702029,,,,,,,,,Coloured Female,613,,
Male,,,32,,,,,,,,,,,,,,
Black African,,,28,,,,,,,,,,,,,,12332
Coloured (Mixed-race),,,4,,,,,,,,,,,,ECD,Grade R Estimate,
Grand Total,,,275,,,,,,,,,,,Book Dash: Xhosa,1970,1500,3470
,,,,,,,,,,,,,,Book Dash: Afrikaans,42,350,392
Employment Status,,,Active,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Row Labels,,,Count of Last Name,,,,,,,,,,,,,,
1000 Stories Youth,,,14,26 (24 Females & 2 Males),,,,,,,,,,,,,
EduTech Coach,,,7,,,,,,,,,,,,,,
Librarian,,,6,,,,,,,,,,,,,,
Literacy Coach,,,154,,,,,,,,,,,,,,
Sport & Arts Coach,,,4,,,,,,,,,,,,,,
Yeboneer,,,89,,,,,,,,,,,,,,
Grand Total,,,274,,,,,,,,,,,,,,
