School ID,School,Type,Address,City,Latitude,Longitude,Principal,Main Contact,Main Contact Phone Number,Actively Working In
119,Rock of Ages,ECD,,,-33.804092,25.57437781,,,,
120,Sakha Abantwana,ECD,,,-33.907152,25.58977497,,,,
121,Sakhuxolo Educare,ECD,,,,,,,,
122,Samuel Nongogo ,Primary,,,,,,,,
123,Sandwater,Primary,,,,,,,,
124,Sapphire,Primary,,,,,,,,
125,Sekunjalo EduCentre,ECD,,,,,,,,
126,Seyisi,"ECD,Primary",,,-33.886311,25.60066342,,,,
127,Sifunimfundo,ECD,,,,,,,,
128,Sikhulise Pre-School,ECD,,,,,,,,
129,Simanye,ECD,,,-33.896175,25.58977076,,,,
130,Sinethemba,ECD,,,,,,,,
131,Sisonke,ECD,,,,,,,,
132,Sivuyiseni,Primary,,,,,,,,
133,Siyabulela ,ECD,,,,,,,,
134,Siyaphambili,ECD,,,,,,,,
135,Siyazama,ECD,,,,,,,,
136,Spencer Mabija,Primary,,,,,,,,
137,St Augustines,Primary,,,,,,,,
138,St Magdalene,ECD,,,,,,,,
139,Stephen Mazungula,Primary,,,,,,,,
140,Strelitzia,Primary,,,,,,,,
141,Sume Centre,ECD,,,,,,,,
142,Sunnyside,ECD,,,-33.901973,25.59839494,,,,
143,Thanda Abantwana,ECD,,,,,,,,
144,Thandi's Educare & Aftercare,ECD,,,,,,,,
145,Tinky Winky Day Care,ECD,,,-33.824381,25.58975190,,,,
146,Twinkle toes Educare ,ECD,,,,,,,,
147,Umzam'omhle Educare,ECD,,,,,,,,
148,Vezubuhle,Primary,,,,,,,,
149,Vukani Daycare,ECD,,,,,,,,
150,Vukanibantu,Primary,,,,,,,,
151,Vulithemba,ECD,,,-33.867941,25.57438521,,,,
152,Yomelela EduCare,ECD,,,,,,,,
153,Zanoxolo,Primary,,,,,,,,
154,Zizamele,ECD,,,-33.892751,25.60417254,,,,
155,Zukhanye,ECD,,,-33.797929,25.60619036,,,,
156,Zukisa,Primary,,,,,,,,
