School ID,School,Type,Address,City,Latitude,Longitude,Principal,Main Contact,Main Contact Phone Number,Actively Working In
1,Aaron Gqadu,"Primary,ECD",,,-33.866352,25.58612925,,,,
2,Adcoc Brighton kids,ECD,,,-33.902751,25.59117600,,,,
3,Arise and Shine,ECD,,,,,,,,
4,Astra,Primary,,,,,,,,
5,Bambino,ECD,,,,,,,,
6,Bavumeleni,ECD,,,,,,,,
7,Ben Nyathi,Primary,,,,,,,,
8,Ben Sinuka,Primary,,,-33.892141,25.60333438,,,,
9,Bethelsdorp,Primary,,,,,,,,
10,Bethvale,Primary,,,,,,,,
11,BJ Mnyanda,Primary,,,-33.888347,25.58640198,,,,
12,Bomi obutsha,ECD,,,,,,,,
13,Bright Angels,ECD,,,,,,,,
14,Busy Bee,ECD,,,-33.868025,25.57241663,,,,
15,Canzibe,Primary,,,-33.802247,25.59731976,,,,
16,Cebelihle,Primary,,,,,,,,
17,Charles Duna,ECD,,,-33.896183,25.59445120,,,,
18,Charles Duna,Primary,,,-33.896183,25.59445120,,,,
19,Clarkson,Primary,,,,,,,,
20,Cuttee Babies Nursery,ECD,,,,,,,,
21,Daniels,Primary,,,,,,,,
22,David Vuku,Primary,,,,,,,,
23,Dorcas Educare Centre,ECD,,,,,,,,
24,Dorothy,ECD,,,,,,,,
25,Dumani,Primary,,,-33.810768,25.60414135,,,,
26,Early Rose,ECD,,,-33.797187,25.60007679,,,,
27,Ebongweni,Primary,,,,,,,,
28,Ekhaya,ECD,,,,,,,,
29,Elufefeni,Primary,,,-33.815895,25.57832300,,,,
30,Elundini,Primary,,,,,,,,
31,Emafini,Primary,,,,,,,,
32,Emfundweni,Primary,,,,,,,,
33,Emmanuel Day Care,ECD,,,,,,,,
34,Empumalanga,Primary,,,-33.801763,25.57782159,,,,
35,Emsengeni,Primary,,,,,,,,
36,Emzomncane,Primary,,,,,,,,
37,Enkulekweni,Primary,,,,,,,,
38,Enkwenkwezini,ECD,,,,,,,,
39,Enqileni,Primary,,,,,,,,
40,Entokozweni EduCare,ECD,,,,,,,,
41,Ezibeleni ,ECD,,,,,,,,
42,Fumisukoma,Primary,,,-33.802852,25.58195450,,,,
43,Funimfundo,ECD,,,,,,,,
44,Future Angels ,ECD,,,,,,,,
45,Future Kids Educare,ECD,,,-33.893066,25.59292460,,,,
46,Future Stars,ECD,,,-33.811756,25.60075933,,,,
47,Garrett,Primary,,,,,,,,
48,Gertrude Shope,Primary,,,,,,,,
49,Good Hope,ECD,,,-33.902598,25.60338327,,,,
50,Govan Mbeki,ECD,,,-33.798819,25.58876210,,,,
51,Green Apple,ECD,,,,,,,,
52,Hlumelo,ECD,,,-33.808345,25.60379802,,,,
53,Holy Name Community,ECD,,,,,,,,
54,Ikamvalethu,ECD,,,-33.798033,25.58107180,,,,
55,Ikhwezelihle,Primary,,,,,,,,
56,Ilithalethu,ECD,,,,,,,,
57,Imbasa,Primary,,,,,,,,
58,Inkqubela,Primary,,,,,,,,
59,Isaac Booi,Primary,,,-33.869824,25.56739893,,,,
60,Isizwe Sethu,ECD,,,-33.797585,25.60199828,,,,
61,Jarvis Gqamlana,Primary,,,,,,,,
62,Jesus Dominion,ECD,,,,,,,,
63,Jongilanga,ECD,,,-33.892279,25.60689462,,,,
64,Kama,Primary,,,,,,,,
65,Kayser Ngxwana,Primary,,,,,,,,
66,Khanyisa,Primary,,,,,,,,
67,Khazimla,ECD,,,-33.896984,25.60754139,,,,
68,Khulile,ECD,,,,,,,,
69,Kids College,ECD,,,,,,,,
70,Kings and Quuens,ECD,,,,,,,,
71,KK Ncwana,Primary,,,,,,,,
72,Kokkewiet,ECD,,,,,,,,
73,Kroneberg,Primary,,,,,,,,
74,Kwakhanya,ECD,,,,,,,,
75,KwaNoXolo,Primary,,,,,,,,
76,Lamani,Primary,,,-33.893829,25.59003491,,,,
77,Libhongo Lwethu,ECD,,,,,,,,
78,Linge Tots,ECD,,,,,,,,
79,Lithemba,ECD,,,,,,,,
80,Little Angels Unite,ECD,,,,,,,,
81,Little Ships,ECD,,,-33.891912,25.60715675,,,,
82,Living Ubuntu,ECD,,,,,,,,
83,Livuse,ECD,,,,,,,,
84,Lukhanyiselo,ECD,,,-33.903268,25.58865101,,,,
85,Lukhanyiso,ECD,,,,,,,,
86,Lukhanyo,ECD,,,,,,,,
87,Luv Birds Day care,ECD,,,,,,,,
88,Malikhanye Day Care,ECD,,,-33.801811,25.58439876,,,,
89,Mboniselo,Primary,,,,,,,,
90,Melisizwe,Primary,,,,,,,,
91,Minnie Day Care,ECD,,,-33.804675,25.58112840,,,,
92,Molefe,Primary,,,-33.906869,25.59147571,,,,
93,Msobomvu Preschool,ECD,,,,,,,,
94,Mzamomhle Edu-care,ECD,,,,,,,,
95,Mzimhlophe,Primary,,,,,,,,
96,Mzingisi,Primary,,,,,,,,
97,Nceduluntu Edu-care ,ECD,,,,,,,,
98,Nelisa,ECD,,,-33.800678,25.57951692,,,,
99,New Brighton Future Kids,ECD,,,-33.905964,25.59275929,,,,
100,Njongozabantu,ECD,,,-33.797261,25.60559210,,,,
101,Nkuthalo,ECD,,,,,,,,
102,Nobandla,ECD,,,-33.893886,25.59293301,,,,
103,Nolundi,ECD,,,-33.894761,25.58983908,,,,
104,Noluthando,ECD,,,,,,,,
105,Nomonde,ECD,,,-33.898924,25.59167732,,,,
106,Nomtha,ECD,,,,,,,,
107,Nonkqubela,ECD,,,,,,,,
108,Nontsapho,ECD,,,-33.804926,25.60950307,,,,
109,Nontsikelelo,ECD,,,,,,,,
110,Nosandla Educare,ECD,,,,,,,,
111,Ntyatyambo,Primary,,,,,,,,
112,Nxanelwimfundo,ECD,,,,,,,,
113,P.G Mangqana Pre-School,ECD,,,,,,,,
114,Paulos Oyigcwele,ECD,,,,,,,,
115,Pendla,Primary,,,,,,,,
116,Phakamile,Primary,,,,,,,,
117,Qaqawuli Godolozi,ECD,,,,,,,,
118,Rise and Shine,ECD,,,,,,,,
