School ID,School,Type,Address,City,Latitude,Longitude,Principal,Main Contact,Main Contact Phone Number,Actively Working In
44,Ekhaya,ECD,,,,,,,,
45,St Magdalene,ECD,,,,,,,,
46,Ilithalethu,ECD,,,,,,,,
47,Rise and Shine,ECD,,,,,,,,
48,Sakha Abantwana,ECD,,,-33.907152,25.58977497,,,,
49,Emmanuel Day Care,ECD,,,,,,,,
50,Astra,Primary,,,,,,,,
51,Dumani,Primary,,,-33.810768,25.60414135,,,,
52,Gertrude Shope,Primary,,,,,,,,
53,Jarvis Gqamlana,Primary,,,,,,,,
54,Canzibe,Primary,,,-33.802247,25.59731976,,,,
55,Elufefeni,Primary,,,-33.815895,25.57832300,,,,
56,Nceduluntu Edu-care ,ECD,,,,,,,,
57,Mzamomhle Edu-care,ECD,,,,,,,,
58,Msobomvu Preschool,ECD,,,,,,,,
59,Emsengeni,Primary,,,,,,,,
60,Sivuyiseni,Primary,,,,,,,,
61,Ben Nyathi,Primary,,,,,,,,
63,Clarkson,Primary,,,,,,,,
64,Sandwater,Primary,,,,,,,,
65,Siyazama,ECD,,,,,,,,
66,Living Ubuntu,ECD,,,,,,,,
67,Bambino,ECD,,,,,,,,
68,Seyisi,"ECD,Primary",,,-33.886311,25.60066342,,,,
68,Molefe,Primary,,,-33.906869,25.59147571,,,,
69,Ben Sinuka,Primary,,,-33.892141,25.60333438,,,,
71,Bethvale,Primary,,,,,,,,
72,Strelitzia,Primary,,,,,,,,
73,Bethelsdorp,Primary,,,,,,,,
74,Sapphire,Primary,,,,,,,,
